,angle,energy,StdErr,StdDev
79,-0.352987939,20.170312606339987,0.07797094773907108,2.465657861774207
80,-0.317689145,21.136949255562953,0.07806751244881009,2.46871150601789
81,-0.282390351,22.078093158352953,0.07864750772949602,2.487052567209052
82,-0.247091557,22.88056260686701,0.07919727992470381,2.504437890519925
83,-0.211792763,23.629215744428027,0.07911836496669385,2.501942380432245
84,-0.176493969,24.37053809695599,0.07863068692067418,2.4865206465294194
85,-0.141195175,24.988957022572,0.07827982677224529,2.475425474437219
86,-0.105896382,25.460063700169947,0.07833876473394207,2.4772892564333144
87,-0.070597588,25.841181041988957,0.07897057144195593,2.4972687388162824
88,-0.035298794,26.022750774849904,0.08027412266084773,2.5384906478001503
89,0.0,26.1532791853299,0.08174461049650397,2.5849915561226013
90,0.035298794,26.151134335372973,0.08312643864587818,2.62868879899218
